word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
umphephethe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
unamagangangozi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
izintwana,1.2213950517558412,0.0,1.2213950517558412,1,1,0
okubalulekile,1.2213950517558412,0.0,1.2213950517558412,3,3,0
esinkini,1.2213950517558412,0.0,1.2213950517558412,1,1,0
lombhali,1.2213950517558412,0.0,1.2213950517558412,1,1,0
alandelwa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
abanezinselelo,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ekufundeni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ukugayeka,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kokudla,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yimuphi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ngamagama,1.2213950517558412,0.0,1.2213950517558412,2,2,0
amakhulu,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nemibala,1.2213950517558412,0.0,1.2213950517558412,1,1,0
emihle,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yezithombe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
abangaphoqwa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
bazothuthuka,1.2213950517558412,0.0,1.2213950517558412,1,1,0
useze,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nemibandela,1.2213950517558412,0.0,1.2213950517558412,1,1,0
emayelana,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nokuphepha,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kwabathengi,1.2213950517558412,0.0,1.2213950517558412,2,2,0
yayingasacwayizi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ukuphuthelwa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yehlisa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yema,1.2213950517558412,0.0,1.2213950517558412,1,1,0
isanganiswe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ngumculo,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kumele,1.2213950517558412,0.0,1.2213950517558412,3,3,0
babeke,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ezolandelwa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
okunye,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kunikeza,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kwenze,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ukubuka,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ezizochukuluza,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ezinganeni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ezisakhula,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yenza,1.2213950517558412,0.0,1.2213950517558412,1,1,0
igcinwe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ihlonishwe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yizingane,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nakho,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kuyingxenye,1.2213950517558412,0.0,1.2213950517558412,1,1,0
yokufunda,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nokwandisa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ulwazimagama,1.2213950517558412,0.0,1.2213950517558412,1,1,0
khulumani,1.2213950517558412,0.0,1.2213950517558412,1,1,0
enize,1.2213950517558412,0.0,1.2213950517558412,1,1,0
empumelelweni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nasempilweni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ukuthuthukisa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
lwakho,1.2213950517558412,0.0,1.2213950517558412,1,1,0
izilimi,1.2213950517558412,0.0,1.2213950517558412,1,1,0
uncome,1.2213950517558412,0.0,1.2213950517558412,1,1,0
adideke,1.2213950517558412,0.0,1.2213950517558412,1,1,0
unomalanga,1.2213950517558412,0.0,1.2213950517558412,1,1,0
uzoduduza,1.2213950517558412,0.0,1.2213950517558412,1,1,0
bani,1.2213950517558412,0.0,1.2213950517558412,2,2,0
ukufika,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kwentuthuko,1.2213950517558412,0.0,1.2213950517558412,1,1,0
emadolobheni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
amancane,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nasemphakathini,1.2213950517558412,0.0,1.2213950517558412,1,1,0
wasemakhaya,1.2213950517558412,0.0,1.2213950517558412,1,1,0
